index,context,target,output,neg1,neg2,neg3
1452,i am a parent.,i like animals.,"I'm kind of a parent, too, depending on how you look at it—I have ten cats. I can't help it, I just love animals.","My parents divorced when I was a teenager, and I am a father now.",Well i'm not much more financially independent than my parents.,I have three parents who are living together and they all raise me.
1453,i am a parent.,i like animals.,My kids each have a pet they take care of.,I like to tell my kids stories.,I prefer stories such as a parent taking me on a adventure.,My parents have some crazy stories about me.
1454,i am a parent.,i like animals.,I allow each of my kids to have two pets.,I think that children should be put to work doing something that you love.,In that case I care about environmental protection around my children even more. I want my children to be healthy in the environment.,"My children are being homeschooled, so I'm doing my part in making sure that they have a good childhood and can enjoy their parents more than they should, including education."
1455,i love to exercise.,i like makeup.,"I love it too, I also like makeup",I play video games often as well.,"I do too, especially since I have been taking classes on computer science in my spare time.",I love running.
1456,i love to exercise.,i like makeup.,"However, when i start to sweat it ruins my makeup.",Do you like pizza when you exercise?,I do it in my free time because I don't have time to go to the gym.,I love going to the gym. I need more calories in my body.
1457,i love to exercise.,i like makeup.,I also like to exercise because I always want to stay fit and look my best. That's why I also like makeup.,I work out so much at work that I have to take days off so I can get more exercise.,i like to run and work out.,I like to wear my watch when I do some physical exercises.
1458,i have been in the country all my life.,i reside on a zoo in a awesome state.,I lived in a zoo in the country side before.,I love doing things on the road.,I am from the country and I used to work in the country.,I am in the country all my life too.
1459,i have been in the country all my life.,i reside on a zoo in a awesome state.,"I have as well, with  animals.","Many female singers are talented, even girls from my country.",I've been to the country where there are no women.,I saw a dude from a different country.
1460,i have been in the country all my life.,i reside on a zoo in a awesome state.,I love country animals.,I was in the country when I was little. I also had a missing foot.,I also have a pinky toe.,I have been traveling more and more lately.
1462,i am a musician.,i enjoy playing music.,Music is one of my passions too.,"Me too, what are you into?",I like cars as well.,My favorite instrument is the guitar.
1463,i am a musician.,i enjoy playing music.,I enjoy listening to music.,I like to play music.,I like to record my music to document my musical experience,I am an artist as well. I would like to become a musician.
1464,i am a musician.,i enjoy playing music.,I like listening to music.,My mom is a zoo employee.,"I enjoy playing music,",My favorite animals are the giraffe and the otter.
1466,i am a musician.,i enjoy playing music.,We should get together sometime.,I enjoy listening to music whenever I can.,I like to play music in my free time.,I like to improvise.
1467,i love my girlfriend.,i have an older brother.,My brother has a girlfriend.,I love playing outdoors with her.,I have her as a best friend.,How often do you take her camping?
1468,i love my girlfriend.,i have an older brother.,My family love my girlfriend as well.,I have an open relationship with my wife.,I want to get a wife but I can't afford it.  I like pizza.,You know what that means.
1469,i love my girlfriend.,i have an older brother.,"That's nice, do you have any single brothers?",I like to go to the library often.,I am sorry to hear that. I wish I could help.,How about you? Since you won't do well in school?
1470,i visited europe in june.,i reside in a large metropolis.,I enjoyed my trip to Europe.  However I like my large city more.,I love traveling to Europe and seeing the world.,I like manga.,I was abroad in june when I read comic books.
1471,i visited europe in june.,i reside in a large metropolis.,I stayed in a small village.,I don't go to Europe much but I did visit Europe in June.,I love to visit places more.  I like visiting Europe more than visiting my sister in law.,"i visit Europe sometime in june and lived in a very nice house, very modernized."
1472,i visited europe in june.,i reside in a large metropolis.,Europe is completely different than where I live.  I live in a huge city.,i love apple products.  I am a huge apple fan.,"I have an iPhone from Apple in the Netherlands, so far i enjoy it.",I got a new iPhone in June.  It was the new iPhone from apple.
1474,i am a grandmother.,i enjoy caring for pets.,I look after my grandchildren and their pets.,I've always have a pet reptile.,I grew up with my animals.,"Me too, I had to buy a new pet as a result of my pets deaths."
1476,i am a grandmother.,i enjoy caring for pets.,"I've never had any children of my own, but I satisfy my desire to nurture others by caring for my pets.","I have a grandmother, too.","That's not a lot of friends, but your friends are all great people who love you.",I'm a grandmother of many children and have to work as a grandma to buy food for my kids
1478,i am a grandmother.,i enjoy caring for pets.,I like taking care of children.,My family and I would be better off if we had more time off work.,I am a grandmother too,The oldest woman in my family got divorced and I have to take care of her.
1479,i am a grandmother.,i enjoy caring for pets.,I am a grandmother too.  I take care of my grandkids pets.,When my grandmother dies she comes back to life as LeBron.,"I like to watch my grandkids play sports.  I am a grandfather, though.",My grandmother is a LeBron fan.
1480,i am a grandmother.,i enjoy caring for pets.,I am a mother taking care of two children and two dogs.,I have a white car.,My grandmother's car was nothing too fancy.,Me too! My grandmother got me a great car for my first birthday.
1481,i am a grandmother.,i enjoy caring for pets.,My grandkids have cats.,"I like my family and their smiles.  I have a cute laugh, which makes me smile a lot.","My family says my laugh is cute, too.","My grandmother is cute, does that make me a grandma?"
1483,i own a small farm where i herd cattle.,i was in the army.,I inherited the farm after my service in the military,i like to watch them all together on TV,It's very cool when you're with friends.,I have a farm around where I do this.
1485,the best animal is the smartest in the ocean.,my dad makes commercials.,my dad works with animals on television,I like to watch movies with my friends,Chickens are great in both of life's mysteries.,I like turtles but not very much.
1486,the best animal is the smartest in the ocean.,my dad makes commercials.,Dad makes commercials of the smartest ocean animal.,I like to learn how to swim.,That is how it is for animals in the ocean because their intelligence is so high that they can swim through the water in the most athletic way imaginable.,I am a musician.
1487,i like making clothes with needles and thread.,i do not like wearing shoes.,"I find most clothes ill-fitting, that's why I don't wear shoes.",My mom buys sewing supplies for children,My parents work to help children.,My father worked with children.
1488,i like making clothes with needles and thread.,i do not like wearing shoes.,"yea,but too bad you cant make sneakers that way.","I travel often, but have to pick certain fabrics to do it.","My favorite hobbies are traveling, sewing and collecting needles and threads.",I love making clothes with needles and clothing with thread.
1489,i like making clothes with needles and thread.,i do not like wearing shoes.,I don't make my own shoes though.,I like to listen to music.,I like to knit with needles because I like that feeling.,I like sewing at home.
1490,i have a lot of kids.,i am a female in my 30s.,How old are you again and how many children do you have?,That's why I don't want to move out to a country with kids which I understand.,My parents buy me expensive cars and I'm a single parent working in the oil fields.,My kids love cars.
1492,i have a lot of kids.,i am a female in my 30s.,"I don't have any kids at all. Sometimes I think my biological clock is running out, after all I'm a woman in my 30s.",My kids have no job and I like to stay busy with them.,I can't afford any more kids.  I can't afford to feed them,I have many kids and many friends.
1494,i like watching sports.,i own many cars.,"I enjoy watching sports as well, but there are so many sponsors and advertisements anymore.","I live in a state that has been classified as the wild, so I enjoy watching the wildlife.",I prefer watching sports because it helps me relax in the natural outdoors.,"I used to be into outdoor activities, but I just recently started learning to use technology to watch sports."
1495,i do not eat any animals or animal products like cheese.,i like to shake my butt.,"That's cool, I am vegetarian but I still eat cheese. Is there anything else you like to do? Do you like dancing?",Eating animals is bad for animals.,I love the art of fashion,I've never eaten a dairy product before.
1496,i do not eat any animals or animal products like cheese.,i like to shake my butt.,Well some people say or think dairy or meat is fattening or bad.,"I don't eat dairy, but meat products have been known to cause weight loss.",I'm too lazy.,I don't eat or cook any animals or animal products like cheese.
1497,i do not eat any animals or animal products like cheese.,i like to shake my butt.,I always put on weight when I eat too animal products and that gets in the way of my dancing.,I have to do a lot of work to get by.,I never eat meat.,I just eat meat at my job.  I don't have much of a choice.
1499,i like to go to the casino on weekends.,i am a financial analyst for a brewery.,I just can't bring myself to use money that way.,I usually stay home and work.,The casino is on Mondays.,I like to go to the casino on my days off.
1500,i enjoy reading books.,i like seafood.,"I get a lot of reading done when I go fishing, which I love to do. I fish constantly because I really enjoy seafood.",I love reading and my favorite books are videogames.  I like to play video games.,My favorite books are videogames.,I love to play video games.
1501,i enjoy reading books.,i like seafood.,I have a few books about cooking fish.,i like to eat my cookie or something.,I like to eat snacks with my meals.,I don't really like eating cookie.
1502,i enjoy reading books.,i like seafood.,"When I read, I sometimes like to snack.","I love books, but I hate everything about them.",I prefer to spend my time with friends,I don't like reading.
1503,i work in a library.,i like anything made from italy.,The library has many books covering topics about Italy.,I just got a lot of friends.,It's a lot of fun to just spend a lot of time alone at a library.,I am my friends.
1504,i work in a library.,i like anything made from italy.,I found a great book about Italy at the library last week.,My parents work at the library.  One of my brothers is a teacher and he helped me when I was a child.,The library I grew up in is in a very large community.,My family just helped me with my library job.
1505,i work in a library.,i like anything made from italy.,I like to read Italian books.,I work as a teacher as well.,I wish I could teach kids how to do this.,i like to take my kids to the library with me.
1507,i enjoy relaxing and getting flowers.,i enjoy a certain kind of cookie.,I have always found flowers beautiful and colorful.  Colors make me happy which is why I only like colorful cookies.,I sometimes like to go to my mother's house or a nice place with flowers.,"Me too, my kids do too and get the flowers whenever I don't.",I have three daughters and three sons.
1508,i enjoy relaxing and getting flowers.,i enjoy a certain kind of cookie.,"I always eat my cookie desserts at my dining table, which is decorated with flowers.","My favorite flower is LeBron's, because I love relaxing in a romantic way.",I have a nice red rose that I love when I relax.  I love that it has a special place in my heart.,I love the smell of fresh flowers on the beach.
1509,i swallow a lot of brews.,i dig huge guys.,"I am sure you like large coffees too, right?",You can see how much of your body is covered in oil that you do when you drink from your brews while cleaning your locks,I don't normally drink much at the moment because I am on a water diet.,I drink a lot of coffee with that hair color.
1510,i swallow a lot of brews.,i dig huge guys.,i like going to bars to have beer,"I prefer warm beverages because it's refreshing from the cold weather. I do enjoy nature though, so I enjoy getting a drink of some sort in the evening:D",I'm a huge bear enthusiast.,I like drinking but I'm much more passionate about Nature.
1511,i swallow a lot of brews.,i dig huge guys.,"I've found the hugest guys at the bar, because the more brew guys drink the bigger their bodies get.","My favorite hobbies are swimming, biking and relaxing at the water.",I like to keep my healthy.,I enjoy drinking more water than drinking the same amount of coffee.
1513,i have a garden in my yard.,i like to make fresh pies.,You must enjoy being outside. I like being inside.,I love gardening,I like gardening as well. I prefer the garden outdoor products than the modern outdoor brands.,I like gardening
1514,i like to look at the sky.,i dress in a suit.,I even wear my suit when I go outdoors for a walk to enjoy the sunshine and wide open sky. I love wearing a suit!,I like to look at the sky sometimes because it reminds me of my dog!,I love watching the sky together when we're on walks.,My two pet dogs stare at the sky all day while eating.
1515,i like to look at the sky.,i dress in a suit.,The sky is beautiful and that is the reason I choose clothes in the colors of the sky.,"I like to listen to nature, especially when I am not watching the sky.",I like to look up at the sky and see things.,I do the same with my dogs.
1516,i like to look at the sky.,i dress in a suit.,I like the color of the sky.  I have a suit in that tone.,I'm afraid I might be seen as a monster if i leave the house.,I like to look up at night and see what the sky looks like.,I would have to be careful not to go blind.
1517,i am an introvert.,lebron is my favorite player.,I heard a lot of athletes are introverts,I usually just take a coffee before going to bed.,"I don't have any caffeine.  I need it to come back to the place where I am, which will help me wake up.",I get anxious when I get up to drink coffee.
1518,i am an introvert.,lebron is my favorite player.,"I don't like to go out, instead I stay in and watch basketball.","I like to take a walk alone, because i like my life, and in this way, the environment should make my life more meaningful.",I like to read environmental stories about animals.,I like to go to the gym and exercise.
1519,i am an introvert.,lebron is my favorite player.,I spend a lot of time in my room watching NBA games.,Introverts are very social.,The school environment makes me a bit introverted.,I was an introvert when I was in school.
1520,i enjoy books.,i teach kids how to be creative and express themselves.,I read books to my class at school.,"I do too, but I find that exercise causes me to spend more of my time at work.",I like learning about dance when I am at work.,"i prefer ballet, it's my favorite form of entertainment."
1521,i enjoy books.,i teach kids how to be creative and express themselves.,I am an avid book lover and I derive so much satisfaction by helping children become comfortable with reading and ultimately writing their own stories and ideas.,"I read a lot of books when I drive, but they don't interest me when I am reading.","I like to read and also have a hobby when I can, because I'm not always up to my usual tricks.",I enjoy reading books about driving
1522,i enjoy books.,i teach kids how to be creative and express themselves.,I like teaching.,"I prefer pizza, I like to have an assortment of pizza from home in different shapes.",I like to read. I love to share my favorite book.,i like to read while eating dinner.
1523,i enjoy eating cow products.,i wake up early daily.,I like to drink coffee early in the morning.,I like eating beef and fish.,I also love eating cow products.,I love living on a tropical island when I am not working.  I hope to move to a tropical island when I am able to stop working.
1524,i enjoy eating cow products.,i wake up early daily.,"Yes, one of my favorite foods is bacon! I always have a hearty breakfast as the sun is coming up!",I love eating cow products! They're delicious!,"I don't have much time for that, so I'll just go to the park at 8: 30:00 to watch my favorite football team.",I eat cow products at home from time to time.
1525,i enjoy eating cow products.,i wake up early daily.,I eat cow made sausage for breakfast in the morning.,I like animal products as well.,I loved cooking cow products because it gave me the power to become an artist and eat a lot of cow products.,I used to eat cow products when I was younger.
1526,i collect a lot of sports memorabilia.,i have a couple of pythons.,I also collect snakes.,I want to get a pair of shoes in my next paycheck.,My son grew up to be a dad.,I collect a lot of sports memorabilia for my kids.
1527,i collect a lot of sports memorabilia.,i have a couple of pythons.,"Interesting, I personally don't collect anything but I do have a lot of pets. Do you have any pets?",Collecting the right sports stuff is one of the coolest aspects of living.,"I have sports memorabilia for my team, I am looking for people to play with.",I bought a couple of bobbles for my quarterback and they remind me of my practice.
1528,i collect a lot of sports memorabilia.,i have a couple of pythons.,I love collecting baseball cards.  I love collecting so much that I even started collecting snakes.,I keep some pets as well.,"I collect pets, too.",I collect sports memorabilia around my home.
1529,my dad was a police officer.,my mos was working in school.,"I'll bet he had some stories to share. My mom worked at a school, and she told us some real whoppers!","I've got a lot of kids and I love them all, but sometimes I feel like I need a break from my kids.",It's hard being a parent.,I would like to be a cop.
1530,my dad was a police officer.,my mos was working in school.,My dad often worked in a school to make sure the kids where safe.,My dad was an officer assigned to an Air Force base.,"I hope my dad enjoys going to the park, like it was a park with a basketball field in it.",I always wondered why so many police officers have been arrested by tourists.
1531,my dad was a police officer.,my mos was working in school.,My dad work late nights as a police officer which was the opposite of my mom’s dayshift at the school.,My dad also took care of my great grandpa who was a cop.,I wish my father were alive to see me watching the show.,My dad used to chase the great whites around the park.
1532,my job requires me to be there three days a week.,the taste of hops and barley is something i could do without.,I go to the pub on my day off.,I love going to work so much I just like to entertain myself.,I work a lot so I have to be there one day every week to stay afloat.,That is why I like traveling.
1534,my job requires me to be there three days a week.,the taste of hops and barley is something i could do without.,"Not too bad then. I think many drink to cope with stressful, unfavorable work conditions in life.",If I have a great job and travel abroad I'd like to do it a bit.,It must make me happy to travel so much to work.,I have to be there three days a week because I work from home which I really like.
1535,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,That's really neat. I stay on the grounds of a zoo in a really nice state.,I like to cook.,I love to cook.,"I live like two streets away from beantown, I don't really know any people who live in beantown"
1536,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,i prefer living near the wild,"I live in a place that doesn't have much variety of colors, what I like to do is dye my mane in a color that fits my lifestyle.",That makes me happy because I like the green color.,I don't have a natural color either. I grew it myself in the city.
1537,i reside on the outskirts of a city know as beantown.,i reside on a zoo in a awesome state.,The zoo gets a lot of traffic from people visiting from beantown.,I am sure I'll see you again someday in real life.,My mom is teaching me how to get a high paying job at the mill.,My dad works at the mill and he lives in beantown.
1538,i want people to think i am always happy.,i like living by the water.,I have a great life at the beach.,I don't want to have to change things because of my feelings.,I'm having a wedding too.  I'm very excited about the future.,My fiancee and I are having a wedding.
1539,i want people to think i am always happy.,i like living by the water.,It would be great to actually always be happy and free to come and go as we please though.,"I really wish that I could retire before I'm too old to be in debt, as that would make me happy.",Me too! I enjoy being so happy.,It's hard to find a job.
1540,i want people to think i am always happy.,i like living by the water.,"I used to have to pretend to be happy when I was living away from the water, but now that I'm by the ocean, I can be authentically happy.","I don't like veggies either, but I like people to think I'm always happy because I'm happy either way.",I'm a vegetarian and don't eat a lot of meat.,"I eat enough vegetables that I won't have to eat too much, so it doesn't really matter what I do."
1541,i want people to think i am always happy.,i like living by the water.,If people think I'm happy they respect me.  So I grabbed a house by the beach because the scenery is so positive.,"What do you do, if you don't mind me asking?",I want people to think I am more than what I am.,i think people underestimate the value of being happy right before the holidays.
1542,i want people to think i am always happy.,i like living by the water.,"I want people to think I am always happy, which is easier because I just moved to a place by the water that I love.",My best friend is always happy and he talks a lot about it. I want to be that person for him since he never thinks about it.,I think people like doing activities because of the people around them.  So I just want to be happy with a partner.,I wish I were happier. I have trouble finding happiness in life.
1543,i want people to think i am always happy.,i like living by the water.,I try to be happy as I live in a wonderful place.,I need to make people believe that I am happy.,"When I am not getting stressed, I am feeling good, which is why I prefer to have a positive mood.",People like to think me because sometimes I smile like a little girl.
1544,i am an accountant.,i enjoy running.,I work with numbers and i work out daily.,I want to be a vegetarian.,I work in audit at a business owned by a vegetarian.,I have to get free lunches in California because I cannot afford a good diet.
1545,i am an accountant.,i enjoy running.,"Accounting is mainly a desk job, which makes staying in shape hard. I try to make sure to get enough exercise, which is why I enjoy running.",I enjoy creating video games.,I like to play video games too.,I like to work with videos.
1546,i am an accountant.,i enjoy running.,"I am an accountant, but I hate being cooped up in an office all day so I can't wait to get outside and take a run because I enjoy running!",I always enjoy accounting.,I'm going to be an accountant.,I am also an accountant.  I also memorize different kinds of voices.
1547,i hope to move out soon.,i have a cat.,My best friend is visiting.,I like to watch movies in my reclined reclining chair.,So do many of my friends,That's great! That's a good reason to do so. I could be in any way shape or form.
1548,i hope to move out soon.,i have a cat.,I hope to move out soon with my cat,I have a house in the city but that's what I had growing up.,I moved out of my home in upstate ny for work.,The city of Buffalo is just around the corner from me.
1549,i hope to move out soon.,i have a cat.,My apartment has a mice problem.,I'd be glad to take a bunch of kittens.,I'm looking for a home.,I have several cats!
1550,i hope to have powers to use for good in the future.,i like to read a lot.,"I think we all do, but I think just being a kind person is the most you can do sometimes. Leave the super powers to your books.",So does the Animal kingdom.,I'll always be a shelter volunteer for the animals that I love living with.,I think that animals should have the right to use their own bodies.
1551,i hope to have powers to use for good in the future.,i like to read a lot.,I would teach all the kids around the world to read.,I love gaming.,I hope to earn a living after I graduate and start a business.,I like to do things for the community.
1552,i hope to have powers to use for good in the future.,i like to read a lot.,"Right now, I'm studying a lot to figure out how I can do something important. Luckily,",I hope I can get a ticket to one day.,"I plan and plan for the future, and I try to keep people informed when I'm traveling around the country.",I hope that I could be an actor.
1553,i love walking in the park.,i love chocolate.,I need to exercise more in order to lose weight because I love eating snacks too much.,I play hockey and walk my dog in the park.,When it is cold and rainy out you want to go outside and play games.,I love to go exploring in the park.
1554,i love walking in the park.,i love chocolate.,Park is a good place for picnic. And for the picnic dessert I love chocolate.,"I think that's a cool thing to do too, do you love it too?",I like watching cartoons.,I like going outside and enjoying the park with my friends.
1555,i like the colder months.,i like hoops.,"I hate the cold and love the heat, among Summer sports for sure!",But I wouldn't survive in snow.,I live in New Zealand and have never been to a warm climate since coming here.,I have too many kittens.  I need to get more cold.
1556,i like the colder months.,i like hoops.,One of my favorite sports to play in the cooler months is basketball.,I am a student.,I love cooking homey meals while I am not cooking for myself.,I personally do not enjoy preparing food for myself.
1557,i like the colder months.,i like hoops.,My least favorite thing about the colder months is it's too icy to play hoops on the basketball court. I keep slipping.,"I never want to live in the cold, so I never leave home.",I like to stay inside during the summer and repair things that will help keep me warm.,That's a great way to spend time with your family.
1558,i love to eat fluffy hotcakes in the morning.,i have chick.,I use eggs from my own farm.,"I don't need to cook when I'm eating a nice warm cup of coffee, but I love Italian cooking when I want to eat fluffy coldcakes in the morning.",What is that! It sounds so amazing. I love fluffy hotcakes.,I am soooo bad at cooking.
1559,i love to eat fluffy hotcakes in the morning.,i have chick.,My chick's favorite breakfast is fluffy pancakes and hotcakes.,I make them with beef and beef is my favorite food.,I eat fluffy hotcakes when I get a craving for warm bacon.,I do too.  But I can't eat all the same food everyday.
1560,i love to eat fluffy hotcakes in the morning.,i have chick.,I eat pancakes and feed them to my baby chick.,I don't like sweets.,I like to come home and eat a fluffy hotcake.,My favorite part of the morning is going out on the streets and sampling food.
1561,i love to eat fluffy hotcakes in the morning.,i have chick.,Alone I would avoiding eating too often since it can become overeating.,I do exercise everyday and love to eat fluffy hotcakes.,They do look nice and fluffy. My husband loves to help me eat my carrots!,I love to make fluffy hotcakes with my wheelchair
1562,i love to eat fluffy hotcakes in the morning.,i have chick.,I like to make pancakes for my girlfriend in the morning.,I eat them after I have my morning cup of coffee,"I eat the best fluffy hotcakes in the morning on my stamps, especially the ones with icing.",My favorite hobby is trying to eat my favorite hotcake.
1563,i love to eat fluffy hotcakes in the morning.,i have chick.,I eat fluffy hotcakes with my chick.,I used to work at a restaurant.,I love to have pancakes and I've always wanted to be a cop.,So do my parents.
1564,i coordinate events.,i loved the idea of building houses as a kid.,I could never set up an event.  I love building houses though.,I like to order a lot of fruit.,I like to eat fruits throughout the day.,I go to festivals with my friends at the local bar.
1565,i coordinate events.,i loved the idea of building houses as a kid.,"I tried to become a builder when I was older, but I couldn't figure to how to coordinate all the construction workers at the site and failed.",I'm the organizer at the event.  I want everyone to eat candy and bring their favorite candy to me as we eat.,I love to cook for my fianc and my fiancee. I eat as much as I can when she is not around.,I like to go to the candy store.
1566,i coordinate events.,i loved the idea of building houses as a kid.,I wish that I was an architect instead.,So do I. That's really cool.,We have a salon and have a saloner in the room with us and we coordinate events.,My salon is a salon.
1567,i am attending college to work in a hospital.,i do not have any siblings.,"Since I'm an only child, my parents push me to go to college so I can be successful and make them proud.",I have a daughter who lives in my house and I live in a home that I rent.,I work in a hospital too.,I want to buy my own home.
1568,i am attending college to work in a hospital.,i do not have any siblings.,"I love being around people, even if they are sick.  I hate being lonely like I was when I was an only child.",I take my music to go to work with.,I like to listen to music when I'm at work in the morning.,That sounds fun. I like to listen to music while I am working since there are so many busy places.
1569,i am attending college to work in a hospital.,i do not have any siblings.,My parents were able to help me achieve going to a good college.,"I am getting tired of commercials.  I want to work for free,",I had to take my job at a hospital because of the commercials.,I love watching good commercials on tv.
1572,i love to play tennis.,i work as a lifeguard.,Is it your job?,I like growing vegetables.,I love gardening.,"I make my own garden plants, I usually play tennis when I'm not doing that."
1574,i work for a magazine.,i love to workout.,"beside the magazine, I like to do physical things",I like to play sports and get fresh air.,What do you do for work?,"After work, I like to sit down with my hands and stretch."
1575,i work for a magazine.,i love to workout.,do they have a gym there? i love working out,I like to spend my days swimming.,I only swim when I'm having a good time.,I am sick of doing the swim.
1576,i want to get my own place.,i have zero desire to work.,I can't afford most places I want to live since I am not motivated to work.,I like to live in my parents'house.,I am also an education teacher.,I want to get a job
1577,i want to get my own place.,i have zero desire to work.,I have to work to have the money to get my own place.,I might want a home after my current job is done.,I want to get some sort of break once I can't find a job.,I didn't get a break in my job.
1578,i want to get my own place.,i have zero desire to work.,you will need to get a good job if you want to move from your parents.,I read a book about a woman who lived on the beach and died a few years ago.,I have to take lessons from my friends.,I want to get a house in August to study abroad.
1579,i enjoy wearing costumes so you can guess what my favorite day of the year is.,i like to exercise before work.,I want to look good in my costume this year so I have been exercising.,I usually dress up like caterpillars.,I like to wear costumes for Halloween and such.,It's a nice costume for spring.
1580,i enjoy wearing costumes so you can guess what my favorite day of the year is.,i like to exercise before work.,"I'm exercising to lose weight, which is something I always gain during Halloween because of all the candy I eat!",I like to wear costumes all year long.,I like to dress like a costume designer.,I don't have much choice.
1581,i enjoy wearing costumes so you can guess what my favorite day of the year is.,i like to exercise before work.,I exercise to look fit in my costume.,I've been wearing clothes since I was a kid.  I love them so much that I'm trying to dress up in them as I'm not a huge fan of wearing clothes that much.,"I like to wear a lot of different costumes to different times of year.  Like a costume for Halloween, or a costume for christmas when I'm around family.","I love to read and absorb written material about the different seasons, which usually make me happy"
1582,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,"I wish I could do either of those things, but I do have other hobbies at least.","My job is as a skier.  I am a republican.  I don't like sports, but I like skiing, and I like to do it all day.",I like to get off the wheel at night.,I enjoy both of those activities together.
1583,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,Usually I bring my dogs along with me.,I enjoy going to snowboarding places because I like to die.,I love to do it every day and it is relaxing.,"Nowadays people are afraid of heights. I think it's safe to go skydiving now, but I'm afraid to die because I don't want to make a mess."
1584,i enjoy skateboarding and going skiing.,we had 5 felines but one had to go since it hated both of our mutts.,"We leave our felines and mutts home alone together when we went out skiing on the slopes, so if they don't get long the house will get destroyed.","I like to do my outdoor activities while watching the ballgame, like hiking and skating.","I love to skate, but I don't have the physical and athletic fitness for it. I love to play sports on the ice.","I like doing basketball, but I prefer to skateboard because I like skiing so much."
1585,i have 2 children.,classic firms are the best.,I am careful to only feed my children traditional products.,My wife has a daughter.,The tv show I watch with my kids is often more violent than the real stuff. I've never watched MMA but I'm sure I could find a good beatdown on television.,I'd like to see them all murdered.
1586,i have 2 children.,classic firms are the best.,I like to watch old movies with my kids.,That must be fun doing it with each one. Did they ever leave their home.,I have two children and my two dogs.,My mother was a cow farmer and still lives with her.
1588,i studied english in college.,my dad used to work in law enforcement.,I once majored in English.  My dad told me I'd need it for when I become a cop like him.,I am studying English as a second language.,I love gardening too.,I just started doing things with my flowers.
1589,i studied english in college.,my dad used to work in law enforcement.,"I decided to become a teacher, and not follow in my dad's footsteps.","I hope to one day be an animal researcher, that's what i love doing. I'm not sure if I'll ever be able to do that anymore because of my jobs.",I took a writing class while I was in college because I loved animals.,I love animals too.
1590,i studied english in college.,my dad used to work in law enforcement.,I couldn't go to college.  My did was in law enforcement and didn't make enough money for tuition.,In college I studied English and then I finished school.,I have to go back to school to retake it.,"I am studying english and have finished college recently,"
1591,i do not need glasses.,i am the opposite of a republican.,I once read a study that claimed democrats wear glasses more than republicans.,I need glasses to see how people react to me.,I can't wear anything but glasses on the open beach so I have to use my big glasses that are comfortable.,I can see colors from my eyes.
1592,i do not need glasses.,i am the opposite of a republican.,I think Republicans need glasses in order to take a look at themselves more closely in the mirror.,I am more of a cyclist than a runner.,I have glasses on at my job.,my glasses aren't helping me much.
1593,i do not need glasses.,i am the opposite of a republican.,I am a democrat with perfect eyesight.,I don't like when people are around my glasses.,I have never gotten glasses for my car because I do not wear glasses in my car.,i do not have any glasses on either.
1594,i love to go to the cinema.,dominoes specializes in what i like best.,After the cinema I like to get pizza.,I like to go see films.,People always love to watch movies with me.,I love going to the cinema.
1595,i love to go to the cinema.,dominoes specializes in what i like best.,My weekend routine is to go to the cinema and then get dominoes pizza on the way home.,I don't have a lot of money for cinema.,I do as well.,I used to like watching movies with my husband.
1596,i love to go to the cinema.,dominoes specializes in what i like best.,"I used to go see movies when I was younger, but the food is what made it perfect, not just the movie itself.","I enjoy watching films and watching my siblings movies together, but together they are too childish.",I really like to see the world from my siblings perspective.,"When i was younger, my brothers loved to go to the movies, but i don't want to spoil them."
1599,i own reptiles.,i hope i get to go skydiving while i still can.,they are large because I live life dangerously.,We get rid of that junk and replace it with more healthy options,I love to cook reptiles.  I cook one meal a week.,"I can't eat them all, they're all eating me."
1600,i own reptiles.,i hope i get to go skydiving while i still can.,"I want to buy a reptile before I get too old, since I hear they need a lot of upkeep as pets.",I have a collection of reptiles.,I like to pet them on their natural colors.,I like bright green to change my skin color.
1601,i own reptiles.,i hope i get to go skydiving while i still can.,I prefer pets that can fly or glide through the air.,I have been getting involved in a lot of reptocomics recently.,I have to live on reptiles alone.,My reptiles are for a political party which opposes the tyranny of the lizard republic.
1602,i like vehicles.,i like the shade of emerald.,I painted my vehicle green in the shade of emerald.,"I enjoy driving as much as I can, but I'm not a car guy. I actually like making music for a living.","I like to drive around with my music playing, which is why i want to become a musician.",I like to drive my automobile.
1603,i like vehicles.,i like the shade of emerald.,I am thinking of getting a new car.  I want something in an emerald color.,"I'm also an educator, but I don't go out on road trips often.",I like to learn about vehicles.,I want to be a driver.
1604,i like vehicles.,i like the shade of emerald.,the car I have right now is red.,I don't like cars too much but I like to own them.,"I bought a new car last month, and it's beautiful.",I like to take my car out for a drive on the open roads.
1605,i hate seeing animals in pain.,i try to keep active.,I joined Green Peace.,I don't like to see animals in pain.,I hate seeing animals in pain too.,"I don't like to watch sports either.  I'll watch it if there are animals in pain, though, that's why i like basketball."
1606,i hate seeing animals in pain.,i try to keep active.,I volunteer at an animal shelter when I have free time.,I like to watch my dogs suffer to make sure they don't go to great losses,"That is why I avoid mountains, they cause me pain on the way down.",When I'm skiing I almost always see a bear or a dog's skull in pain.
